id,type,chapter,section,question,choices,answer,explanation,tags,source_file,images
qa-001,qa,総論I 形態・機能・病態生理,発生,肺の原基となる管状構造の名称は？,{},肺芽（lung bud）,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-002,qa,総論I 形態・機能・病態生理,発生,呼吸器分化領域を運命決定する転写因子は？,{},Nkx2.1,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-003,qa,総論I 形態・機能・病態生理,発生,気管支樹の分岐・伸長を誘導する間葉由来の因子は？,{},FGF10,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-004,qa,総論I 形態・機能・病態生理,発生,終末細気管支までの気道分岐が完了する発生期は？,{},偽腺管期（6〜16週）,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-005,qa,総論I 形態・機能・病態生理,発生,サーファクタント産生が開始する発生期は？,{},細管期（16〜28週）,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-006,qa,総論I 形態・機能・病態生理,発生,胎外生活が可能な構造・機能に達する発生期は？,{},囊状期（28〜36週）,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-007,qa,総論I 形態・機能・病態生理,発生,二次隔壁の隆起で肺胞が形成される発生期は？,{},肺胞期（36週〜小児期）,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-008,qa,総論I 形態・機能・病態生理,発生,胸膜が形成される胎齢は？,{},4〜7週頃,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-009,qa,総論I 形態・機能・病態生理,発生,肺胞構造出現期に血管が移動する先は？,{},上皮直下,,"[""総論I"", ""発生"", ""一問一答""]",,[]
qa-010,qa,総論I 形態・機能・病態生理,構造,気管が左右主気管支に分岐する高さは？,{},第4〜5胸椎,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-011,qa,総論I 形態・機能・病態生理,構造,気管分岐部の名称は？,{},carina（気管分岐部）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-012,qa,総論I 形態・機能・病態生理,構造,気管の軟骨を欠く背側1/3を何という？,{},膜様部,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-013,qa,総論I 形態・機能・病態生理,構造,右肺・左肺の肺区域数は？,{},右10・左8,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-014,qa,総論I 形態・機能・病態生理,構造,軟骨・気管支腺が消失する気道径の目安は？,{},約2 mm以下（細気管支）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-015,qa,総論I 形態・機能・病態生理,構造,末梢で増加しCCSPを分泌する細胞は？,{},club cell（旧Clara細胞）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-016,qa,総論I 形態・機能・病態生理,構造,導管（気道）としての最末端の気道は？,{},終末細気管支,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-017,qa,総論I 形態・機能・病態生理,構造,気道部と呼吸部の移行帯にあたる気道は？,{},呼吸細気管支,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-018,qa,総論I 形態・機能・病態生理,構造,サーファクタントを分泌し虚脱を防ぐ肺胞上皮は？,{},Ⅱ型肺胞上皮細胞,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-019,qa,総論I 形態・機能・病態生理,構造,ガス交換に関与する菲薄な肺胞上皮は？,{},Ⅰ型肺胞上皮細胞,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-020,qa,総論I 形態・機能・病態生理,構造,肺胞間の側副換気に関与しうる小孔は？,{},Kohn孔,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-021,qa,総論I 形態・機能・病態生理,構造,CT診断の基盤となる約1cm四方の構造単位は？,{},Miller二次小葉,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-022,qa,総論I 形態・機能・病態生理,構造,1本の終末細気管支以下のまとまり（一次小葉）は？,{},細葉（acinus）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-023,qa,総論I 形態・機能・病態生理,構造,小葉中心を走る細気管支＋肺動脈枝＋結合織は？,{},気管支血管束（bronchovascular bundle）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-024,qa,総論I 形態・機能・病態生理,構造,小葉辺縁（小葉間隔壁）を走行する脈管は？,{},肺静脈・リンパ管,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-025,qa,総論I 形態・機能・病態生理,構造,肺の栄養血管で筋性動脈の構造をとるのは？,{},気管支動脈,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-026,qa,総論I 形態・機能・病態生理,構造,気管支動脈の血流量は心拍出量の約何％？,{},約1％,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-027,qa,総論I 形態・機能・病態生理,構造,胸膜の被覆細胞（中胚葉由来・ヒアルロン酸分泌）は？,{},中皮細胞,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-028,qa,総論I 形態・機能・病態生理,構造,リンパ管の最末端が存在する部位は？,{},肺胞道（肺胞壁にはない）,,"[""総論I"", ""構造"", ""一問一答""]",,[]
qa-029,qa,総論I 形態・機能・病態生理,呼吸生理,コンプライアンスの定義式は？,{},C ＝ ΔV/ΔP,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-030,qa,総論I 形態・機能・病態生理,呼吸生理,虚脱肺胞が開き始める圧容量曲線の屈曲点は？,{},LIP（下方屈曲点）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-031,qa,総論I 形態・機能・病態生理,呼吸生理,過伸展が始まる圧容量曲線の屈曲点は？,{},UIP（上方屈曲点）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-032,qa,総論I 形態・機能・病態生理,呼吸生理,肺保護換気でPEEPはどの点以上に設定する？,{},LIP以上,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-033,qa,総論I 形態・機能・病態生理,呼吸生理,努力呼気で気道内圧＝胸腔内圧となる点は？,{},等圧点（EPP）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-034,qa,総論I 形態・機能・病態生理,呼吸生理,立位で血流が最大となる部位は？,{},肺底部,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-035,qa,総論I 形態・機能・病態生理,呼吸生理,立位で換気血流比が大きいのは？,{},肺尖部,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-036,qa,総論I 形態・機能・病態生理,呼吸生理,低酸素で肺血管が攣縮する現象は？,{},低酸素性肺血管攣縮（HPV）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-037,qa,総論I 形態・機能・病態生理,呼吸生理,100％O₂で改善しにくい低酸素血症の機序は？,{},シャント（短絡）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-038,qa,総論I 形態・機能・病態生理,呼吸生理,A−aDO₂正常でも低酸素血症となる機序は？,{},肺胞低換気・低酸素環境,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-039,qa,総論I 形態・機能・病態生理,呼吸生理,拡散能検査で用いる指標ガスは？,{},CO（DLCO）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-040,qa,総論I 形態・機能・病態生理,呼吸生理,pH低下・CO₂増加で解離曲線が右方移動する現象は？,{},Bohr効果,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-041,qa,総論I 形態・機能・病態生理,呼吸生理,脱酸素化HbでCO₂運搬能が増す現象は？,{},Haldane効果,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-042,qa,総論I 形態・機能・病態生理,呼吸生理,呼吸リズム形成の基本となる延髄ニューロン群は？,{},VRG（腹側呼吸ニューロン群）,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-043,qa,総論I 形態・機能・病態生理,呼吸生理,主にPaO₂を感知する末梢化学受容器は？,{},頸動脈体,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-044,qa,総論I 形態・機能・病態生理,呼吸生理,PaCO₂を感知する中枢化学受容野の局在は？,{},延髄腹側,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-045,qa,総論I 形態・機能・病態生理,呼吸生理,J受容体とも呼ばれ肺うっ血・水腫で刺激される受容器は？,{},pulmonary C線維,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-046,qa,総論I 形態・機能・病態生理,呼吸生理,過換気と低換気を繰り返す異常呼吸は？,{},Cheyne−Stokes呼吸,,"[""総論I"", ""呼吸生理"", ""一問一答""]",,[]
qa-047,qa,総論I 形態・機能・病態生理,生体防御・代謝,病原体特有分子を認識する自然免疫受容体は？,{},Toll様受容体（TLR）,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-048,qa,総論I 形態・機能・病態生理,生体防御・代謝,寄生虫免疫・アレルギーに関与するTh細胞は？,{},Th2,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-049,qa,総論I 形態・機能・病態生理,生体防御・代謝,IFN-γを産生し細菌・ウイルス免疫を担うTh細胞は？,{},Th1,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-050,qa,総論I 形態・機能・病態生理,生体防御・代謝,IL-17を産生し真菌免疫に関与するTh細胞は？,{},Th17,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-051,qa,総論I 形態・機能・病態生理,生体防御・代謝,粘液線毛輸送系が粘液を運ぶ方向は？,{},声門方向,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-052,qa,総論I 形態・機能・病態生理,生体防御・代謝,病原体を貪食しリンパ球へ抗原提示する細胞は？,{},樹状細胞,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
qa-053,qa,総論I 形態・機能・病態生理,生体防御・代謝,肺循環でアンジオテンシンⅠを変換する酵素は？,{},ACE（→アンジオテンシンⅡ）,,"[""総論I"", ""生体防御・代謝"", ""一問一答""]",,[]
